ID,Archivo,Categoria,Formato,Contenido (primera linea),Informacion esperada,Uso en prueba
1,FE-001.txt,factura,txt,FACTURA ELECTRONICA DE VENTA No. FE-001,
2,FE-002.pdf,factura,pdf,FACTURA ELECTRONICA DE VENTA No. FE-002,
3,FE-003.docx,factura,docx,FACTURA ELECTRONICA DE VENTA No. FE-003,
4,FE-004.txt,factura,txt,FACTURA ELECTRONICA DE VENTA No. FE-004,
5,FE-005.pdf,factura,pdf,FACTURA ELECTRONICA DE VENTA No. FE-005,
6,FE-006.docx,factura,docx,FACTURA ELECTRONICA DE VENTA No. FE-006,
7,FE-007.txt,factura,txt,FACTURA ELECTRONICA DE VENTA No. FE-007,
8,FE-008.pdf,factura,pdf,FACTURA ELECTRONICA DE VENTA No. FE-008,
9,FE-009.docx,factura,docx,FACTURA ELECTRONICA DE VENTA No. FE-009,
10,CT-001.txt,contrato,txt,CONTRATO DE ARRENDAMIENTO,
11,CT-002.pdf,contrato,pdf,CONTRATO DE PRESTACION DE SERVICIOS PROFESIONALES,
12,CT-003.docx,contrato,docx,CONTRATO DE CONFIDENCIALIDAD SOBRE INFORMACION TECNICA,
13,CT-004.txt,contrato,txt,CONTRATO DE MANTENIMIENTO PREVENTIVO DE EQUIPOS,
14,CT-005.pdf,contrato,pdf,CONTRATO DE CONSULTORIA EN GESTION DOCUMENTAL,
15,CT-006.docx,contrato,docx,CONTRATO DE ARRENDAMIENTO,
16,CT-007.txt,contrato,txt,CONTRATO DE PRESTACION DE SERVICIOS PROFESIONALES,
17,CT-008.pdf,contrato,pdf,CONTRATO DE CONFIDENCIALIDAD SOBRE INFORMACION TECNICA,
18,CT-009.docx,contrato,docx,CONTRATO DE MANTENIMIENTO PREVENTIVO DE EQUIPOS,
19,CO-001.txt,correspondencia,txt,"Bucaramanga, 8 de enero de 2024",
20,CO-002.pdf,correspondencia,pdf,"Bucaramanga, 9 de febrero de 2024",
21,CO-003.docx,correspondencia,docx,"Bucaramanga, 10 de marzo de 2024",
22,CO-004.txt,correspondencia,txt,"Bucaramanga, 11 de abril de 2024",
23,CO-005.pdf,correspondencia,pdf,"Bucaramanga, 12 de mayo de 2024",
24,CO-006.docx,correspondencia,docx,"Bucaramanga, 13 de junio de 2024",
25,CO-007.txt,correspondencia,txt,"Bucaramanga, 14 de enero de 2024",
26,CO-008.pdf,correspondencia,pdf,"Bucaramanga, 15 de febrero de 2024",
27,IN-001.txt,informe,txt,INFORME: desempeño comercial del trimestre,
28,IN-002.pdf,informe,pdf,INFORME: auditoria interna de procesos contables,
29,IN-003.docx,informe,docx,INFORME: gestion del inventario y almacen,
30,IN-004.txt,informe,txt,INFORME: clima organizacional y rotacion de personal,
31,IN-005.pdf,informe,pdf,INFORME: cumplimiento del plan de mantenimiento,
32,IN-006.docx,informe,docx,INFORME: estado de cartera y cobranza,
33,IN-007.txt,informe,txt,INFORME: indicadores de calidad del servicio,
